keyword,count,frequency
corporate social responsibility,233,0.4198
csr,80,0.1441
corporate social responsibility (csr),37,0.0667
customer loyalty,33,0.0595
sustainability,32,0.0577
customer satisfaction,26,0.0468
brand image,26,0.0468
purchase intention,22,0.0396
trust,18,0.0324
corporate image,17,0.0306
sustainable development,16,0.0288
brand loyalty,16,0.0288
loyalty,15,0.027
brand equity,14,0.0252
corporate reputation,13,0.0234
social media,13,0.0234
reputation,12,0.0216
customer trust,12,0.0216
willingness to pay,11,0.0198
organizational identification,11,0.0198
banks,10,0.018
competitive advantage,10,0.018
covid-19,10,0.018
consumer behavior,9,0.0162
brand identification,9,0.0162
firm performance,9,0.0162
china,9,0.0162
service quality,9,0.0162
brand awareness,8,0.0144
brand trust,8,0.0144
sem,8,0.0144
affective commitment,8,0.0144
pakistan,8,0.0144
purchase intentions,8,0.0144
satisfaction,8,0.0144
identification,8,0.0144
india,7,0.0126
word of mouth,7,0.0126
financial performance,7,0.0126
environment,7,0.0126
meta-analysis,7,0.0126
developing country,7,0.0126
social responsibility,6,0.0108
corporate sustainability,6,0.0108
systematic review,6,0.0108
banking industry,6,0.0108
stakeholder engagement,6,0.0108
organizational commitment,6,0.0108
job satisfaction,6,0.0108
hospitality,6,0.0108
sustainable consumption,6,0.0108
altruism,5,0.009
perceived csr,5,0.009
organizational trust,5,0.009
social identity theory,5,0.009
csr authenticity,5,0.009
pls-sem,5,0.009
co-creation,5,0.009
ethical leadership,5,0.009
theory of planned behavior,5,0.009
subjective norms,5,0.009
banking sector,5,0.009
corporate ability,5,0.009
vietnam,5,0.009
customers,5,0.009
structural equation modelling,5,0.009
social exchange theory,5,0.009
employee engagement,5,0.009
gender,5,0.009
employees,5,0.009
structural equation modeling,5,0.009
brand credibility,4,0.0072
consumer behaviour,4,0.0072
revisit intention,4,0.0072
green brand loyalty,4,0.0072
green marketing,4,0.0072
crisis,4,0.0072
consumer trust,4,0.0072
emotions,4,0.0072
brand experience,4,0.0072
bibliometric analysis,4,0.0072
organizational performance,4,0.0072
retail,4,0.0072
spain,4,0.0072
sustainable performance,4,0.0072
smes,4,0.0072
attitude,4,0.0072
ethics,4,0.0072
mediation,4,0.0072
environmental responsibility,4,0.0072
banking,4,0.0072
systematic literature review,4,0.0072
awareness,4,0.0072
consumer,4,0.0072
legitimacy,4,0.0072
pro-environmental behavior,4,0.0072
employee commitment,4,0.0072
customer citizenship behavior,4,0.0072
quality of life,4,0.0072
corporate branding,4,0.0072
emerging markets,4,0.0072
content analysis,4,0.0072
corporate responsibility,3,0.0054
corporate philanthropy,3,0.0054
organizational pride,3,0.0054
bibliometrics,3,0.0054
perceived corporate social responsibility,3,0.0054
consumer satisfaction,3,0.0054
ewom,3,0.0054
perceived quality,3,0.0054
latent class model,3,0.0054
csr communication,3,0.0054
green trust,3,0.0054
hotel industry,3,0.0054
corporate social irresponsibility,3,0.0054
image,3,0.0054
fit,3,0.0054
sustainable development goals,3,0.0054
review,3,0.0054
perceived behavioral control,3,0.0054
esg,3,0.0054
consumer ethnocentrism,3,0.0054
environmental corporate social responsibility,3,0.0054
iran,3,0.0054
e-trust,3,0.0054
resilience,3,0.0054
tourism,3,0.0054
personal values,3,0.0054
internationalization,3,0.0054
values,3,0.0054
customer perceived ethicality,3,0.0054
electronic word of mouth,3,0.0054
hotel,3,0.0054
generation z,3,0.0054
voluntary pro-environmental behavior,3,0.0054
strategic management,3,0.0054
environmental management,3,0.0054
environmental concern,3,0.0054
customer engagement,3,0.0054
twitter,3,0.0054
saudi arabia,3,0.0054
organisational commitment,3,0.0054
csr support,3,0.0054
life insurance,3,0.0054
micro-csr,3,0.0054
perceived external prestige,3,0.0054
philanthropy,3,0.0054
attitudinal loyalty,3,0.0054
customer-company identification,3,0.0054
stakeholders,3,0.0054
environmental sustainability,3,0.0054
m14,2,0.0036
society,2,0.0036
climate change,2,0.0036
employee happiness,2,0.0036
restaurant industry,2,0.0036
wom,2,0.0036
e-wom,2,0.0036
green innovation,2,0.0036
relationship quality,2,0.0036
literature review,2,0.0036
csr perception,2,0.0036
consumer company identification,2,0.0036
behavioural intentions,2,0.0036
covid-19 pandemic,2,0.0036
corporate environmental responsibility,2,0.0036
csr practices,2,0.0036
environmental,2,0.0036
thematic analysis,2,0.0036
business ethics,2,0.0036
healthcare,2,0.0036
social,2,0.0036
daily expenditure,2,0.0036
bangladesh,2,0.0036
organisational identification,2,0.0036
consumers,2,0.0036
internal corporate social responsibility,2,0.0036
marketing,2,0.0036
employment,2,0.0036
poverty alleviation,2,0.0036
competence,2,0.0036
impact,2,0.0036
competitiveness,2,0.0036
environmental csr,2,0.0036
s-o-r framework,2,0.0036
entrepreneurs,2,0.0036
social networks,2,0.0036
bank reputation,2,0.0036
retail banking,2,0.0036
sharing economy,2,0.0036
governance,2,0.0036
mandatory csr,2,0.0036
developing countries,2,0.0036
repurchase intention,2,0.0036
strategic communication,2,0.0036
social contribution,2,0.0036
scale development,2,0.0036
performance,2,0.0036
influencer marketing,2,0.0036
green brand image,2,0.0036
green purchase intention,2,0.0036
sdgs,2,0.0036
behavior intention,2,0.0036
brand authenticity,2,0.0036
deontic justice theory,2,0.0036
sme,2,0.0036
sustainable consumption behavior,2,0.0036
sustainability reporting,2,0.0036
service failure,2,0.0036
csr engagement,2,0.0036
brand management,2,0.0036
marketing research,2,0.0036
japan,2,0.0036
mnes,2,0.0036
company reputation,2,0.0036
customer identification,2,0.0036
perception,2,0.0036
agri-food,2,0.0036
cooperatives,2,0.0036
country of origin,2,0.0036
pls,2,0.0036
environmental awareness,2,0.0036
norm activation model,2,0.0036
greenwashing,2,0.0036
brand attitude,2,0.0036
corporate financial performance,2,0.0036
religiosity,2,0.0036
ascription of responsibility,2,0.0036
stimulus-organism-response theory,2,0.0036
responsibility,2,0.0036
consumer engagement,2,0.0036
knowledge,2,0.0036
ghana,2,0.0036
brand love,2,0.0036
cellular service industry,2,0.0036
brand reputation,2,0.0036
corporate brands,2,0.0036
value co-creation,2,0.0036
green csr,2,0.0036
