support,itemsets_str,length
0.4198198198198198,corporate social responsibility,1
0.14414414414414414,csr,1
0.06666666666666667,corporate social responsibility (csr),1
0.05945945945945946,customer loyalty,1
0.05765765765765766,sustainability,1
0.04684684684684685,brand image,1
0.04684684684684685,customer satisfaction,1
0.03963963963963964,purchase intention,1
0.036036036036036036,corporate social responsibility + csr,2
0.032432432432432434,corporate social responsibility + customer loyalty,2
0.032432432432432434,trust,1
0.03063063063063063,corporate image,1
0.02882882882882883,brand loyalty,1
0.02882882882882883,sustainable development,1
0.02702702702702703,corporate social responsibility + sustainability,2
0.02702702702702703,loyalty,1
0.025225225225225224,brand equity,1
0.025225225225225224,corporate social responsibility + customer satisfaction,2
0.023423423423423424,corporate reputation,1
0.023423423423423424,social media,1
0.021621621621621623,customer trust,1
0.021621621621621623,reputation,1
0.01981981981981982,brand image + corporate social responsibility,2
0.01981981981981982,organizational identification,1
0.01981981981981982,willingness to pay,1
0.018018018018018018,banks,1
0.018018018018018018,competitive advantage,1
0.018018018018018018,covid-19,1
0.016216216216216217,brand identification,1
0.016216216216216217,china,1
0.016216216216216217,consumer behavior,1
0.016216216216216217,corporate image + corporate social responsibility,2
0.016216216216216217,corporate reputation + corporate social responsibility,2
0.016216216216216217,corporate social responsibility + customer trust,2
0.016216216216216217,corporate social responsibility + loyalty,2
0.016216216216216217,customer loyalty + customer satisfaction,2
0.016216216216216217,firm performance,1
0.016216216216216217,service quality,1
0.014414414414414415,affective commitment,1
0.014414414414414415,banks + corporate social responsibility,2
0.014414414414414415,brand awareness,1
0.014414414414414415,brand trust,1
0.014414414414414415,corporate social responsibility + identification,2
0.014414414414414415,corporate social responsibility + purchase intention,2
0.014414414414414415,corporate social responsibility + sustainable development,2
0.014414414414414415,identification,1
0.014414414414414415,pakistan,1
0.014414414414414415,purchase intentions,1
0.014414414414414415,satisfaction,1
0.014414414414414415,sem,1
0.012612612612612612,brand equity + corporate social responsibility,2
0.012612612612612612,brand image + brand loyalty,2
0.012612612612612612,brand image + purchase intention,2
0.012612612612612612,corporate image + customer loyalty,2
0.012612612612612612,corporate social responsibility + customer loyalty + customer satisfaction,3
0.012612612612612612,corporate social responsibility + trust,2
0.012612612612612612,developing country,1
0.012612612612612612,environment,1
0.012612612612612612,financial performance,1
0.012612612612612612,india,1
0.012612612612612612,meta-analysis,1
0.012612612612612612,word of mouth,1
0.010810810810810811,banking industry,1
0.010810810810810811,brand image + csr,2
0.010810810810810811,brand loyalty + corporate social responsibility,2
0.010810810810810811,corporate social responsibility + covid-19,2
0.010810810810810811,corporate social responsibility + developing country,2
0.010810810810810811,corporate social responsibility + meta-analysis,2
0.010810810810810811,corporate social responsibility + organizational identification,2
0.010810810810810811,corporate social responsibility + pakistan,2
0.010810810810810811,corporate social responsibility + reputation,2
0.010810810810810811,corporate social responsibility + social media,2
0.010810810810810811,corporate social responsibility + willingness to pay,2
0.010810810810810811,corporate sustainability,1
