corpus,n_keyword_bearing,sigma,sigma_times_n,itemsets,rules,star_share_pct,auto_sigma,is_auto_value
CSR example,555,0.005,2.77,278,138,54.3,0.0125,0
CSR example,555,0.0075,4.16,114,50,68.0,0.0125,0
CSR example,555,0.01,5.55,81,30,80.0,0.0125,0
CSR example,555,0.0125,6.94,62,21,71.4,0.0125,1
CSR example,555,0.015,8.32,38,9,88.9,0.0125,0
CSR example,555,0.02,11.1,22,3,100.0,0.0125,0
CSR example,555,0.025,13.88,18,3,100.0,0.0125,0
CSR example,555,0.03,16.65,12,1,100.0,0.0125,0
CSR example,555,0.04,22.2,7,0,,0.0125,0
CSR example,555,0.05,27.75,5,0,,0.0125,0
A,31,0.005,0.15,1900,13097,4.9,0.05,0
A,31,0.0075,0.23,1900,13097,4.9,0.05,0
A,31,0.01,0.31,1900,13097,4.9,0.05,0
A,31,0.0125,0.39,1900,13097,4.9,0.05,0
A,31,0.015,0.46,1900,13097,4.9,0.05,0
A,31,0.02,0.62,1900,13097,4.9,0.05,0
A,31,0.025,0.78,1900,13097,4.9,0.05,0
A,31,0.03,0.93,1900,13097,4.9,0.05,0
A,31,0.04,1.24,27,18,50.0,0.05,0
A,31,0.05,1.55,27,18,50.0,0.05,1
B,224,0.005,1.12,656,1747,11.6,0.025,0
B,224,0.0075,1.68,656,1747,11.6,0.025,0
B,224,0.01,2.24,190,122,40.2,0.025,0
B,224,0.0125,2.8,190,122,40.2,0.025,0
B,224,0.015,3.36,118,78,44.9,0.025,0
B,224,0.02,4.48,79,57,50.9,0.025,0
B,224,0.025,5.6,60,36,52.8,0.025,1
B,224,0.03,6.72,45,24,54.2,0.025,0
B,224,0.04,8.96,35,18,55.6,0.025,0
B,224,0.05,11.2,23,9,77.8,0.025,0
C,1255,0.005,6.28,235,136,59.6,0.0125,0
C,1255,0.0075,9.41,134,69,60.9,0.0125,0
C,1255,0.01,12.55,90,46,63.0,0.0125,0
C,1255,0.0125,15.69,65,30,63.3,0.0125,1
C,1255,0.015,18.82,49,23,69.6,0.0125,0
C,1255,0.02,25.1,30,10,70.0,0.0125,0
C,1255,0.025,31.38,24,8,87.5,0.0125,0
C,1255,0.03,37.65,14,5,80.0,0.0125,0
C,1255,0.04,50.2,11,3,66.7,0.0125,0
C,1255,0.05,62.75,6,2,50.0,0.0125,0
D,3297,0.005,16.48,192,86,89.5,0.0125,0
D,3297,0.0075,24.73,117,52,92.3,0.0125,0
D,3297,0.01,32.97,82,35,91.4,0.0125,0
D,3297,0.0125,41.21,60,23,95.7,0.0125,1
D,3297,0.015,49.45,39,13,100.0,0.0125,0
D,3297,0.02,65.94,26,11,100.0,0.0125,0
D,3297,0.025,82.43,22,9,100.0,0.0125,0
D,3297,0.03,98.91,17,7,100.0,0.0125,0
D,3297,0.04,131.88,14,6,100.0,0.0125,0
D,3297,0.05,164.85,12,5,100.0,0.0125,0
E,4678,0.005,23.39,255,111,79.3,0.025,0
E,4678,0.0075,35.09,138,66,78.8,0.025,0
E,4678,0.01,46.78,104,48,79.2,0.025,0
E,4678,0.0125,58.48,77,32,81.2,0.025,0
E,4678,0.015,70.17,62,27,88.9,0.025,0
E,4678,0.02,93.56,47,17,94.1,0.025,0
E,4678,0.025,116.95,37,14,92.9,0.025,1
E,4678,0.03,140.34,31,12,91.7,0.025,0
E,4678,0.04,187.12,22,9,88.9,0.025,0
E,4678,0.05,233.9,18,7,100.0,0.025,0
